 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,176.526
-566.4,-0.07,187.9932
-566.4,-0.07,199.8544
-566.4,-0.07,212.1094
-566.4,-0.07,224.7903
-566.4,-0.07,237.8715
-566.4,-0.07,251.3809
-566.4,-0.07,265.3309
-566.4,-0.07,279.7184
-566.4,-0.07,294.483
-566.4,-0.07,309.6613
-566.4,-0.07,325.2581
-566.4,-0.07,341.2607
-566.4,-0.07,357.6489
-566.4,-0.07,374.4052
-566.4,-0.07,391.5691
-566.4,-0.07,409.1149
-566.4,-0.07,427.0877
-566.4,-0.07,445.4114
-566.4,-0.07,464.0847
-566.4,-0.07,483.1418
-566.4,-0.07,502.571
-566.4,-0.07,522.3527
-566.4,-0.07,542.4938
-566.4,-0.07,563.0047
-566.4,-0.07,583.8712
-566.4,-0.07,605.0921
-566.4,-0.07,626.6817
-566.4,-0.07,648.624
-566.4,-0.07,670.9274
-566.4,-0.07,693.6058
-566.4,-0.07,716.6924
-566.4,-0.07,740.146
-566.4,-0.07,763.9597
-566.4,-0.07,788.1424
-566.4,-0.07,812.6675
-566.4,-0.07,837.5695
-566.4,-0.07,862.8643
-566.4,-0.07,888.5571
-566.4,-0.07,914.6376
-566.4,-0.07,941.1155
-566.4,-0.07,967.9736
-566.4,-0.07,995.2492
-566.4,-0.07,1022.95
-566.4,-0.07,1051.056
-566.4,-0.07,1079.553
-566.4,-0.07,1108.432
-566.4,-0.07,1137.702
-566.4,-0.07,1167.353
-566.4,-0.07,1197.438
-566.4,-0.07,1227.959
-566.4,-0.07,1258.872
-566.4,-0.07,1290.166
-566.4,-0.07,1321.852
-566.4,-0.07,1353.918
-566.4,-0.07,1386.42
-566.4,-0.07,1419.312
-566.4,-0.07,1452.601
-566.4,-0.07,1486.264
-566.4,-0.07,1520.32
-566.4,-0.07,1554.752
-566.4,-0.07,1589.574
-566.4,-0.07,1624.763
-566.4,-0.07,1660.341
-566.4,-0.07,1696.294
-566.4,-0.07,1732.63
-566.4,-0.07,1769.341
-566.4,-0.07,1806.439
-566.4,-0.07,1843.914
-566.4,-0.07,1881.77
-566.4,-0.07,1920.002
-566.4,-0.07,1958.622
-566.4,-0.07,1997.674
-566.4,-0.07,2037.13
-566.4,-0.07,2076.969
-566.4,-0.07,2117.226
-566.4,-0.07,2157.871
-566.4,-0.07,2198.904
-566.4,-0.07,2240.357
-566.4,-0.07,2282.21
-566.4,-0.07,2324.449
-566.4,-0.07,2367.092
-566.4,-0.07,2410.111
-566.4,-0.07,2453.562
-566.4,-0.07,2497.387
-566.4,-0.07,2541.61
-566.4,-0.07,2586.229
-566.4,-0.07,2631.229
-566.4,-0.07,2676.593
-566.4,-0.07,2722.331
-566.4,-0.07,2768.482
-566.4,-0.07,2815.009
-566.4,-0.07,2861.921
-566.4,-0.07,2909.212
-566.4,-0.07,2956.899
-566.4,-0.07,3005.052
-566.4,-0.07,3053.629
-566.4,-0.07,3102.606
-566.4,-0.07,3151.975
-566.4,-0.07,3201.736
-566.4,-0.07,3251.924
-566.4,-0.07,3302.561
-566.4,-0.07,3353.582
-566.4,-0.07,3405.177
-566.4,-0.07,3457.456
-566.4,-0.07,3510.423
-566.4,-0.07,3564.058
-566.4,-0.07,3618.359
-566.4,-0.07,3673.339
-566.4,-0.07,3728.91
-566.4,-0.07,3784.881
-566.4,-0.07,3841.25
-566.4,-0.07,3898.009
-566.4,-0.07,3955.208
-566.4,-0.07,4012.845
-566.4,-0.07,4070.915
-566.4,-0.07,4129.428
-566.4,-0.07,4188.374
-566.4,-0.07,4247.747
-566.4,-0.07,4307.503
-566.4,-0.07,4367.62
-566.4,-0.07,4428.117
-566.4,-0.07,4489.027
-566.4,-0.07,4550.356
-566.4,-0.07,4612.057
-566.4,-0.07,4674.16
-566.4,-0.07,4736.669
-566.4,-0.07,4799.578
-566.4,-0.07,4862.877
-566.4,-0.07,4926.569
-566.4,-0.07,4990.686
-566.4,-0.07,5055.261
-566.4,-0.07,5120.28
-566.4,-0.07,5185.704
-566.4,-0.07,5251.556
-566.4,-0.07,5317.816
-566.4,-0.07,5384.479
-566.4,-0.07,5451.524
-566.4,-0.07,5518.959
-566.4,-0.07,5586.773
-566.4,-0.07,5654.971
-566.4,-0.07,5723.555
-566.4,-0.07,5792.522
-566.4,-0.07,5861.866
-566.4,-0.07,5931.596
-566.4,-0.07,6001.709
-566.4,-0.07,6072.204
-566.4,-0.07,6143.08
-566.4,-0.07,6214.347
-566.4,-0.07,6285.992
-566.4,-0.07,6358.044
-566.4,-0.07,6430.536
-566.4,-0.07,6503.464
-566.4,-0.07,6576.811
-566.4,-0.07,6650.564
-566.4,-0.07,6724.69
-566.4,-0.07,6799.206
-566.4,-0.07,6874.125
-566.4,-0.07,6949.439
-566.4,-0.07,7025.273
-566.4,-0.07,7101.51
-566.4,-0.07,7178.141
-566.4,-0.07,7255.167
-566.4,-0.07,7332.614
-566.4,-0.07,7410.473
-566.4,-0.07,7488.722
-566.4,-0.07,7567.375
-566.4,-0.07,7646.426
-566.4,-0.07,7725.867
-566.4,-0.07,7805.704
-566.4,-0.07,7885.948
-566.4,-0.07,7966.598
-566.4,-0.07,8047.659
-566.4,-0.07,8129.175
-566.4,-0.07,8211.082
-566.4,-0.07,8293.384
-566.4,-0.07,8376.075
-566.4,-0.07,8459.228
-566.4,-0.07,8542.814
-566.4,-0.07,8626.863
-566.4,-0.07,8711.363
-566.4,-0.07,8796.303
-566.4,-0.07,8881.688
-566.4,-0.07,8967.549
-566.4,-0.07,9053.874
-566.4,-0.07,9140.619
-566.4,-0.07,9227.768
-566.4,-0.07,9315.317
-566.4,-0.07,9403.304
-566.4,-0.07,9491.729
-566.4,-0.07,9580.579
-566.4,-0.07,9669.837
-566.4,-0.07,9759.523
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.9205672
-566.4,-0.07,2.239689
-566.4,-0.07,3.979191
-566.4,-0.07,6.138144
-566.4,-0.07,8.747084
-566.4,-0.07,11.79361
-566.4,-0.07,15.26453
-566.4,-0.07,19.10981
